Question_Number,Question_Text,Answer_A,Answer_B,Answer_C,Correct_Answer
1,"(Art. 4 ust. 1) Bronią, w rozumieniu ustawy o broni i amunicji, nie jest:","broń palna;","broń pneumatyczna;","broń ostra.","C"
179,"(Rozdział 2 ust. 4 wzorcowego regulaminu bezpiecznego funkcjonowania strzelnic) Na strzelnicy, strzelanie rozpoczyna się wyłącznie na komendę:","właściciela strzelnicy;","prowadzącego strzelanie;","zarządcy strzelnicy.","B"
180,"(Rozdział 2 ust. 5 wzorcowego regulaminu bezpiecznego funkcjonowania strzelnic) Na strzelnicy, zakończenie strzelania zgłasza się:","zakończenia strzelania nie zgłasza się;","osobie znajdującej się na sąsiadującym stanowisku strzeleckim;","prowadzącemu strzelanie.","C"
181,"(Rozdział 2 ust. 6 wzorcowego regulaminu bezpiecznego funkcjonowania strzelnic) Na strzelnicy, po zakończeniu strzelania:","broń rozładowuje się i przedstawia do kontroli prowadzącemu strzelanie;","broń rozładowuje się i chowa do kabury;","broń rozładowuje się i pozostawia na stanowisku strzeleckim.","A"
182,"(Rozdział 2 ust. 6 wzorcowego regulaminu bezpiecznego funkcjonowania strzelnic) Na strzelnicy, po zakończeniu strzelania, rozładowaniu broni i przedstawieniu jej prowadzącemu strzelanie:","podchodzi się do tarcz;","opuszcza się stanowisko strzeleckie z bronią z otwartą komorą nabojową;","opuszcza się stanowisko strzeleckie pozostawiając broń na stanowisku.","B"
183,"(Rozdział 3 ust. 4 wzorcowego regulaminu bezpiecznego funkcjonowania strzelnic) Na strzelnicy, podczas strzelania, komendę „STOP” może wydać:","wyłącznie prowadzący strzelanie;","prowadzący strzelanie lub inna osoba;","prowadzący strzelanie lub zarządca strzelnicy.","B"
184,"(Rozdział 3 ust. 4 wzorcowego regulaminu bezpiecznego funkcjonowania strzelnic) Na strzelnicy, podczas strzelania, po komendzie „STOP”:","strzelający bezzwłocznie przerywają strzelanie;","strzelający przerywają strzelanie po wyczerpaniu amunicji w magazynku;","strzelający rozładowują broń i przedstawiają ją prowadzącemu strzelanie.","A"
185,"(Art. 50) Kto porzuca broń palną lub amunicję, która pozostaje w jego dyspozycji, podlega:","wyłącznie karze aresztu albo grzywny;","grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2;","wyłącznie karze grzywny.","B"
186,"(Art. 51 ust. 2) Kto nie dopełnia obowiązku rejestracji broni, podlega:","grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2;","karze aresztu albo grzywny;","wyłącznie karze grzywny.","B"
187,"(Art. 51 ust. 2) Kto nie dopełnia obowiązku zawiadomienia Policji o utracie lub zbyciu innej osobie broni i amunicji do tej broni, podlega:","grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2;","wyłącznie karze grzywny;","karze aresztu albo grzywny.","C"
188,"(Art. 51 ust. 2) Kto nosi broń, znajdując się w stanie po użyciu alkoholu, podlega:","grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2;","karze aresztu albo grzywny;","wyłącznie karze grzywny.","B"
189,"(Art. 51 ust. 2) Kto przechowuje oraz nosi broń i amunicję w sposób umożliwiający dostęp do nich osób nieuprawnionych, podlega:","grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2;","karze aresztu albo grzywny;","wyłącznie karze grzywny.","B"
190,"(Art. 51 ust. 2) Kto używa w celach szkoleniowych lub sportowych broni zdolnej do rażenia celów na odległość poza strzelnicami, podlega:","karze aresztu albo grzywny;","grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2;","wyłącznie karze grzywny.","A"
191,"(Art. 51 ust. 2) Kto narusza przepisy regulaminu określającego zasady zachowania bezpieczeństwa na strzelnicy, podlega:","grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2;","wyłącznie karze grzywny;","karze aresztu albo grzywny.","C"
192,"(Art. 51 ust. 3) Kto posiada broń, nie mając przy sobie legitymacji posiadacza broni lub Europejskiej karty broni palnej albo innego dokumentu upoważniającego do posiadania broni, podlega","grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2;","karze aresztu albo grzywny;","wyłącznie karze grzywny.","C"
193,"(Art. 51 ust. 3) Kto posiada broń, nie mając przy sobie legitymacji osoby dopuszczonej do posiadania broni i świadectwa broni, podlega","wyłącznie karze grzywny;","grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2;","wyłącznie karze aresztu albo grzywny.","A"
194,"(Art. 25 kodeksu karnego) Nie popełnia przestępstwa, kto działając w obronie koniecznej odpiera bezpośredni, bezprawny zamach:","na życie, zdrowie, wolność człowieka oraz na mienie wielkiej wartości;","na jakiekolwiek dobro chronione prawem;","tylko na życie i zdrowie człowieka.","B"
195,"(Art. 25 kodeksu karnego) Do przekroczenia granic obrony koniecznej może dojść w sytuacji, gdy:","działania obronne wyprzedziły zamach;","dobrem ratowanym nie było życie;","dobro ratowane było niskiej wartości.","A"
196,"(Art. 25 kodeksu karnego) Do przekroczenia granic obrony koniecznej może dojść w sytuacji, gdy:","dobrem ratowanym nie było życie;","dobro ratowane było niskiej wartości;","działania obronne były niewspółmierne do niebezpieczeństwa zamachu.","C"
197,"(Art. 263 kodeksu karnego) Kto bez wymaganego zezwolenia wyrabia broń palną, podlega:","karze pozbawienia wolności od roku do lat 10;","grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2;","karze aresztu albo grzywny.","A"
198,"(Art. 263 kodeksu karnego) Kto bez wymaganego zezwolenia posiada broń palną lub amunicję, podlega:","grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2;","karze aresztu albo grzywny;","karze pozbawienia wolności od 6 miesięcy do lat 8.","C"
199,"(Art. 263 kodeksu karnego) Kto, mając zezwolenie na posiadanie broni palnej lub amunicji, udostępnia lub przekazuje ją osobie nieuprawnionej, podlega:","grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2;","karze aresztu albo grzywny;","grzywnie.","A"
200,"(Art. 263 kodeksu karnego) Kto nieumyślnie powoduje utratę broni palnej lub amunicji, która zgodnie z prawem pozostaje w jego dyspozycji, podlega:","wyłącznie karze aresztu albo grzywny;","grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku;","grzywnie.","B"
